pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,10/2/15,95.1,-2.71,6.22,"Arrieta, Jake",596143,453562,,swinging_strike,,,,,6,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,,,0,1,2015,-0.95,1.51,0.7,2.24,,,,0,6,Bot,,,,,471083,,151002_210710,11.961,-137.728,-8.744,-14.479,28.499,-11.501,3.3,1.45,,,,95.1,2359,6.4,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,,0,-0.046
FF,10/2/15,94.8,-2.66,6.25,"Arrieta, Jake",596143,453562,,called_strike,,,,,5,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,,,0,0,2015,-0.95,1.43,-0.14,2.32,,,,0,6,Bot,,,,,471083,,151002_210657,9.404,-137.383,-8.381,-13.916,28.423,-12.67,3.3,1.49,,,,94.9,2413,6.5,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,1,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,,0,-0.032
SI,10/2/15,95.8,-2.74,6.31,"Arrieta, Jake",502213,453562,field_out,hit_into_play,,,,,2,Nevin Ashley grounds out to first baseman Anthony Rizzo.,R,R,R,MIL,CHC,X,3,ground_ball,1,0,2015,-1.28,0.96,0.16,2.78,,,,2,5,Bot,151.95,171.77,,,471083,,151002_205227,11.395,-138.825,-6.232,-18.878,30.973,-18.752,3.37,1.48,48,87.3,-1,95.5,2449,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.32,0.292,0,1,0,0,2,41,2,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,,-0.007,-0.113
SL,10/2/15,91.3,-2.84,6.46,"Arrieta, Jake",502213,453562,,ball,,,,,12,Nevin Ashley grounds out to first baseman Anthony Rizzo.,R,R,R,MIL,CHC,B,,,0,0,2015,0.74,0.64,1.21,3.51,,,,2,5,Bot,,,,,471083,,151002_205210,9.316,-132.606,-3.161,7.006,24.699,-24.258,3.37,1.48,,,,91.4,1212,6.2,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,41,1,Slider,0,4,0,4,4,0,0,4,Standard,Standard,,0,0.014
SI,10/2/15,95.9,-2.84,6.2,"Arrieta, Jake",541650,453562,field_out,hit_into_play,,,,,9,"Hernan Perez grounds out, third baseman Tommy La Stella to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,X,5,ground_ball,0,2,2015,-1.39,1.01,0.46,2.19,,,,1,5,Bot,115.87,183.97,,,471083,,151002_205127,12.808,-138.824,-7.785,-20.504,29.068,-17.851,3.48,1.65,1,51.5,-56,95.8,2420,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.193,0.179,0,1,0,0,1,40,3,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,,-0.012,-0.095
SL,10/2/15,91.5,-2.89,6.25,"Arrieta, Jake",541650,453562,,swinging_strike,,,,,14,"Hernan Perez grounds out, third baseman Tommy La Stella to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,S,,,0,1,2015,0.94,0.63,0.69,1.35,,,,1,5,Bot,,,,,471083,,151002_205108,7.597,-132.776,-8.47,9.585,25.435,-23.293,3.48,1.65,,,,91.6,2653,6.3,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,40,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,,0,-0.035
SL,10/2/15,91.8,-2.9,6.19,"Arrieta, Jake",541650,453562,,swinging_strike,,,,,14,"Hernan Perez grounds out, third baseman Tommy La Stella to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,S,,,0,0,2015,0.52,0.61,1.45,1.1,,,,1,5,Bot,,,,,471083,,151002_205051,10.724,-132.978,-8.953,3.968,26.153,-23.451,3.48,1.65,,,,91.6,2597,6.3,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,40,1,Slider,0,4,0,4,4,0,0,4,Standard,Standard,,0,-0.025
SL,10/2/15,90.2,-3.04,6.32,"Arrieta, Jake",516416,453562,field_out,hit_into_play,,,,,9,"Jean Segura grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,X,4,ground_ball,2,2,2015,0.78,0.56,0.69,1.92,,,,0,5,Bot,144.84,159.06,,,471083,,151002_205014,8.275,-130.915,-6.705,7.597,22.633,-24.77,3.37,1.53,4,85.7,-25,90.2,798,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.093,0.097,0,1,0,0,2,39,5,Slider,0,4,0,4,4,0,0,4,Standard,Strategic,,-0.018,-0.201
SI,10/2/15,94.5,-2.91,6.31,"Arrieta, Jake",516416,453562,,foul,,,,,2,"Jean Segura grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,S,,,2,1,2015,-1.14,1.15,-0.12,2.87,,,,0,5,Bot,,,,,471083,,151002_204946,10.597,-137.032,-6.239,-16.491,29.234,-16.729,3.37,1.53,,,,94.5,2411,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,39,4,Sinker,0,4,0,4,4,0,0,4,Standard,Strategic,,0,-0.062
FF,10/2/15,94.8,-2.62,6.08,"Arrieta, Jake",516416,453562,,ball,,,,,14,"Jean Segura grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,B,,,1,1,2015,-1.11,1.42,0.47,0.43,,,,0,5,Bot,,,,,471083,,151002_204924,11.371,-136.857,-13.073,-16.248,29.679,-11.899,3.37,1.62,,,,94.1,2401,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,39,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Strategic,,0,0.048
